Assembly Accession	CheckM contamination	CheckM completeness	Assembly Stats Total Sequence Length
GCF_005235965.1	0.13	99.51	2891223
GCF_005236025.1	0.71	98.44	2510835
GCF_005236115.1	0.2	98.52	2520014
GCF_005236125.1	0.32	98.27	2525640
GCF_005236135.1	0.78	98.83	2624320
GCF_005236145.1	0.08	98.08	2536560
GCF_005236155.1	0.36	97.77	2561711
GCF_005236195.1	0.76	97.73	2567835
GCF_005236225.1	0.78	96.85	2632081
GCF_005236235.1	0.75	96.95	2581642
GCF_005236245.1	0.78	98.83	2657170
GCF_005236305.1	0.8	97.18	2562246
GCF_005236315.1	0.85	98.05	2405423
GCF_005236325.1	0.36	97.56	2537437
GCF_005236345.1	0.75	98.05	2551329
GCF_005236355.1	0.6	98.83	2655471
GCF_005236375.1	0.78	96.85	2629251
GCF_005236495.1	0.26	97.63	2541667
GCF_005236505.1	0.04	97.43	2578862
GCF_005236515.1	0.17	97.92	2529229
GCF_005236525.1	0.17	97.92	2526582
GCF_005236605.1	0.75	98.05	2544440
GCF_005236645.1	0.04	97.43	2586042
GCF_005236665.1	0.18	97.34	2591404
GCF_005237055.1	0.92	96.85	2647895
GCF_005237065.1	0.31	97.55	2564770
GCF_005237165.1	0.78	98.83	2658897
GCF_005237195.1	1.1	98.05	2524846
GCF_005237205.1	0.36	96.46	2554618
GCF_005237215.1	0.21	97.88	2475451
GCF_005237235.1	0.85	98.44	2649229
GCF_005237275.1	0.36	98.36	2572201
GCF_005237325.1	0.36	98.4	2569333
GCF_005237355.1	0.63	97.62	2535092
GCF_005237365.1	0.78	98.83	2660351
GCF_005237385.1	0.36	98.25	2540455
GCF_005237515.1	0.82	98.83	2700731
GCF_005237525.1	0.75	98.05	2556151
GCF_005237545.1	0.36	98.4	2567789
GCF_005237675.1	0.17	97.92	2509728
GCF_005237705.1	0.04	98.08	2533719
GCF_005237715.1	0.2	98.52	2520544
GCF_005237725.1	0.17	97.92	2527338
GCF_005237735.1	0.32	98.35	2580258
GCF_005237785.1	0.65	98.7	2570048
GCF_005237865.1	0.25	98.39	2635183
GCF_005238445.1	0.2	97.36	2514334
GCF_005238475.1	0.2	97.16	2512490
GCF_005238515.1	0.75	98.83	2631112
GCF_005238665.1	0.04	97.43	2584561
GCF_005238785.1	0.92	96.85	2608827
GCF_005238805.1	0.2	97.36	2514864
GCF_005238815.1	0.78	96.85	2621143
GCF_005238875.1	0.31	97.55	2564876
GCF_005238985.1	0.04	97.43	2586142
GCF_005281885.1	0.58	99.12	3003900
GCF_005287905.1	0.31	99.19	2922784
GCF_005451945.1	0.71	99.29	2833596
GCF_005517315.1	0.29	93.93	3209271
GCF_005576735.1	0.23	96.61	3072272
GCF_005886545.1	0.32	99.39	3132860
GCF_005886655.1	0.32	99.39	3135868
GCF_005886715.1	0.32	99	3302085
GCF_005886735.1	0.32	99.52	3301988
GCF_005952885.1	0.13	98.99	3002553
GCF_006007925.1	0.23	98.05	3098023
GCF_006280355.1	0.4	97.69	2930394
GCF_006337045.1	1.22	99.42	2845522
GCF_006351785.1	0.83	99.57	2782065
GCF_006351845.1	0.85	98.85	2694097
GCF_006375615.1	0.13	99.02	2948528
GCF_006375635.1	0.13	99.48	2965365
GCF_006375645.1	0.18	99.51	2944573
GCF_006375685.1	0.13	99.16	2479514
GCF_006375695.1	0.44	97.57	2525241
GCF_006375735.1	0.26	98.2	2870211
GCF_006375755.1	0.27	99.03	2758892
GCF_006375775.1	0.13	99.08	2842806
GCF_006375785.1	0.13	99.42	2598310
GCF_006375795.1	0.13	97.96	3021880
GCF_006375855.1	0.24	99.48	2995010
GCF_006375865.1	0.18	99.51	2937201
GCF_006375895.1	0.13	98.82	2970925
GCF_006375915.1	0.18	99.51	2960016
GCF_006375925.1	0.13	98.82	2949247
GCF_006375945.1	0.18	99.51	3097290
GCF_006375975.1	0.13	98.68	3011899
GCF_006375995.1	0.18	98.14	2437842
GCF_006376005.1	0.13	98.3	2913071
GCF_006376015.1	0.21	99.51	2884941
GCF_006376055.1	0.13	98.87	2909203
GCF_006376075.1	0.57	99.61	2838815
GCF_006376095.1	0.22	99.22	2681841
GCF_006376105.1	0.45	98.93	2607643
GCF_006376145.1	0.32	99.61	2708292
GCF_006376175.1	0.21	99.03	2531921
GCF_006376195.1	0.13	97.89	3011773
GCF_006376215.1	0.13	99.51	3006028
GCF_006376225.1	0.41	99.15	3209246
GCF_006376235.1	0.13	97.96	3017123
GCF_006376285.1	0.31	98.2	2769370
GCF_006376295.1	0.13	99.42	2598875
GCF_006381655.1	0.21	98.14	2638069
GCF_006541175.1	0.55	96.5	2655194
GCF_006541535.1	0.31	98.77	2507908
GCF_006575625.1	0.18	99.45	3115663
GCF_006741355.1	0.23	99.09	2749658
GCF_007625025.1	0.82	98.31	2733101
GCF_007917035.2	0.21	99.3	3263915
GCF_007917315.2			3254897
GCF_008079185.1	0.13	99.58	2639444
GCF_008079195.1	0.32	98.13	2473602
GCF_008079205.1	0.13	99.58	2651081
GCF_008079215.1	0.13	99.61	2532545
GCF_008079275.1	0.13	99.58	2691680
GCF_008123945.1	1.16	99	3061142
GCF_008131145.1	0.29	98.68	2870725
GCF_008131155.1	0.35	99.34	3032561
GCF_008131195.1	0.13	98.88	2910338
GCF_008131205.1	0.13	98.41	2907030
GCF_008131275.1	0.9	98.74	2978934
GCF_008131285.1	0.18	98.93	3031942
GCF_008131295.1	0.32	98.8	2925727
GCF_008131305.1	0.13	98.99	2825817
GCF_008131355.1	0.32	99.51	3031776
GCF_008131365.1	0.21	99.12	2965566
GCF_008131375.1	0.18	99.32	2989755
GCF_008131385.1	0.13	98.8	2937641
GCF_008131435.1	1.16	98.11	3212311
GCF_008131445.1	0.91	98.96	3021789
GCF_008131455.1	0.18	99.13	3048903
GCF_008131485.1	2.21	99.22	3301305
GCF_008131515.1	0.57	98.74	3088650
GCF_008131525.1	0.18	99.32	2995811
GCF_008131535.1	0.21	99.26	3033404
GCF_008131565.1	0.63	99.19	2994487
GCF_008131595.1	0.57	98.74	3106895
GCF_008131615.1	0.62	98.54	3090555
GCF_008131625.1	0.5	98.74	3088802
GCF_008131645.1	0.37	99.51	3136967
GCF_008131675.1	0.18	99.51	3003004
GCF_008131685.1	0.56	97.61	2959612
GCF_008131705.1	0.52	99.12	3158852
GCF_008131725.1	0.75	99.51	3065352
GCF_008131755.1	0.13	98.41	2923550
GCF_008725685.1	0.13	98.25	2532585
GCF_008725705.1	0.13	98.25	2547247
GCF_008725735.1	0.13	98.08	2510580
GCF_008725745.1	0.13	98.25	2545853
GCF_008725775.1	0.13	98.25	2509617
GCF_008725785.1	0.13	98.25	2545118
GCF_008725835.1	0.45	97.27	2509668
GCF_008725845.1	0.47	97.28	2482632
GCF_008725935.1	0.37	97.36	2477608
GCF_008726035.1	0.47	97.28	2486967
GCF_008726075.1	0.47	97.28	2487539
GCF_008726125.1	0.45	97.38	2486979
GCF_008728455.1	0.33	98.58	3274751
GCF_008728475.1	0.18	99.12	3170487
GCF_008868365.1	0.62	99.09	2784546
GCF_008921725.1	0.13	98.83	2953680
GCF_008921735.1	0.13	98.93	2951728
GCF_008921805.1	0.13	99.12	2874112
GCF_008921825.1	0.13	98.93	2955413
GCF_008921835.1	0.13	98.93	2942053
GCF_008921845.1	0.13	98.93	2954384
GCF_008921855.1	0.13	98.76	2947850
GCF_008921905.1	0.13	98.83	2954696
GCF_008921925.1	0.13	98.93	2951728
GCF_008921935.1	0.13	98.83	2950154
GCF_008921945.1	0.13	98.93	2948695
GCF_008921955.1	0.13	98.93	2957008
GCF_008922005.1	0.18	99.12	2905291
GCF_008922055.1	0.13	99.12	2910522
GCF_008974665.2	0.13	99.51	3199282
GCF_009036045.1	0.52	99.22	2912936
GCF_009078405.1	0.13	99.12	2892342
GCF_009078415.1	0.13	99.05	2893144
GCF_009183865.1	0.13	99.12	3108465
GCF_009183885.1	0.13	99.12	3183908
GCF_009183895.1	0.13	99.14	3138935
GCF_009183945.1	0.13	99.12	3274903
GCF_009183955.1	0.13	98.93	3178553
GCF_009183965.1	0.18	99.12	3196802
GCF_009184005.1	0.13	98.51	3065123
GCF_009184015.1	0.17	98.87	3117375
GCF_009184035.1	0.13	98.74	3127238
GCF_009184055.1	4.03	98.91	3537676
GCF_009184075.1	0.13	99.08	3145820
GCF_009184105.1	0.13	99.12	2889842
GCF_009184115.1	0.17	99.12	3172335
GCF_009184145.1	0.23	99.12	3047776
GCF_009184155.1	0.18	98.88	3236533
GCF_009184165.1	0.52	98.93	3141511
GCF_009184205.1	0.46	98.58	3262863
GCF_009184225.1		99.05	3082990
GCF_009184235.1	0.18	98.9	3264755
GCF_009184255.1	0.13	99.01	3219826
GCF_009184265.1	1.06	99.01	3349304
GCF_009184285.1		99.05	3079939
GCF_009184325.1	0.18	98.93	3068225
GCF_009184345.1		99.05	3079685
GCF_009184525.1	0.36	99.61	2855121
GCF_009659825.1	0.26	99.16	2552048
GCF_009659845.1	0.13	98.67	2589190
GCF_009697285.1	0.13	99.38	3347130
GCF_009707505.1	0.28	98.74	2725456
GCF_009707525.1	0.6	99.08	2943302
GCF_009707535.1	0.65	99.08	2947087
GCF_009733995.1	4.03	99.42	3024699
GCF_009734515.1	0.18	99.05	3005175
GCF_009734645.1	0.17	98.25	2553406
GCF_009734655.1	0.18	99.24	2480628
GCF_009734805.1	0.32	99.05	3023784
GCF_009734855.1	0.18	99.05	3008305
GCF_009734915.1	0.13	99.05	2962136
GCF_009734925.1	0.13	99.05	2964368
GCF_009734975.1	0.13	99.05	2937833
GCF_009735005.1	0.13	99.05	2914895
GCF_009735025.1	0.13	99.05	2903870
GCF_009735205.1	0.71	99.61	2778016
GCF_009735345.1	0.52	98.8	2612511
GCF_009735525.1	0.52	97.47	2565627
GCF_009769915.1	0.21	98.83	3040171
GCF_009769925.1	0.21	98.83	3046991
GCF_009769935.1	0.21	98.83	3035791
GCF_009769945.1	0.21	98.83	3044610
GCF_009769955.1	0.26	99.18	2948915
GCF_009769985.1	0.21	98.83	3007443
GCF_009770055.1	0.21	98.03	2980734
GCF_009770065.1	0.21	98.76	3024974
GCF_009770075.1	0.21	98.83	2983992
GCF_009770085.1	0.21	98.78	3048577
GCF_009770105.1	0.21	98.83	3034787
GCF_009770145.1	0.21	97.48	3008373
GCF_009770155.1	0.21	97.66	3047001
GCF_009770175.1	0.21	97.66	3042276
GCF_009770215.1	0.21	98.44	3021995
GCF_009770225.1	0.21	98.83	3032372
GCF_009770265.1	0.21	98.83	3056621
GCF_009770305.1	0.18	98.79	3073807
GCF_009770315.1	0.21	99.02	3083326
GCF_009770325.1	0.21	98.38	3048770
GCF_009770365.1	0.21	99.02	3076566
GCF_009770395.1	0.21	98.83	3063776
GCF_009770415.1	0.21	98.83	3062212
GCF_009770435.1	0.21	98.83	3056488
GCF_009770455.1	0.21	98.83	3051526
GCF_009770485.1	0.21	98.83	3046453
GCF_009770505.1	0.21	98.83	3048786
GCF_009770515.1	0.21	98.83	3079321
GCF_009770535.1	0.21	98.83	3085932
GCF_009770555.1	0.21	98.83	3060432
GCF_009770565.1	0.21	98.83	3077461
GCF_009770605.1	0.21	98.83	3057830
GCF_009770615.1	0.21	98.83	3064680
GCF_009770645.1	0.21	98.44	3063361
GCF_009770655.1	0.25	98.83	3051838
GCF_009770705.1	0.21	98.83	3062034
GCF_009770725.1	0.21	98.63	3010382
GCF_009770735.1	0.21	98.83	3065957
GCF_009770745.1	0.21	98.83	3055774
GCF_009770755.1	0.21	98.83	3046608
GCF_009770805.1	0.21	98.44	3045931
GCF_009770825.1	0.21	98.83	3063431
GCF_009770845.1	0.21	98.44	3063256
GCF_009770865.1	0.21	98.83	3079241
GCF_009770875.1	0.21	98.83	3047948
GCF_009770885.1	0.21	98.83	3063636
GCF_009770905.1	0.21	98.83	3055392
GCF_009770945.1	0.21	98.83	3060066
GCF_009770965.1	0.21	99.02	3063718
GCF_009791335.1	0.18	99.43	3023425
GCF_009832485.1	0.17	99.22	2730260
GCF_009937865.1	1.39	99.43	3058690
GCF_009938075.1	0.23	99.48	2736390
GCF_009938285.1	0.26	98.28	3170227
GCF_010119315.1	0.13	99.35	2920754
GCF_010119375.1	0.13	99.35	2951068
GCF_010120755.1	0.23	99.61	2834297
GCF_010671845.1	0.52	99.12	2702698
GCF_010720715.1	0.52	97.4	2666927
GCF_010720725.1	0.52	97.18	2650568
GCF_010720745.1	0.24	95.26	2641413
GCF_010720755.1	0.5	94.42	2711033
GCF_010720795.1	0.65	97.4	2727633
GCF_010722195.1	1.2	99.42	3150743
GCF_010722315.1	1.2	99.42	3128095
GCF_010722435.1	1.2	99.42	3119763
GCF_010722535.1	1.2	99.34	3111201
GCF_010722695.1	1.2	99.42	3140123
GCF_010722815.1	1.16	99.42	3149815
GCF_011174695.1	0.13	96.58	2618002
GCF_011316145.1	1.63	98.93	3126003
GCF_011316195.1	0.13	98.93	2976523
GCF_011386845.1	1.41	98.93	2967412
GCF_011386855.1	0.2	99	3108830
GCF_011386865.1	0.56	97.15	2999902
GCF_012070665.1	0.23	99.48	3039226
GCF_012070685.1	0.31	99.61	2837542
GCF_012932955.1	0.28	99.48	2947319
GCF_012932975.2	0.37	99.09	2929042
GCF_012932985.2	0.37	99.09	2918877
GCF_012933045.1	0.76	99.56	3016033
GCF_012933055.2	0.18	99.48	3206679
GCF_012933065.1	0.13	98.65	2801830
GCF_012933075.2	0.18	99.48	3127609
GCF_012933105.1	1.12	99.35	2914352
GCF_012933145.1	0.81	99.51	2931846
GCF_012933165.2	0.18	99.48	3109264
GCF_012933185.1	0.57	99.61	3001951
GCF_012933195.1			3001712
GCF_012933205.1	0.18	99.48	2854354
GCF_012933245.2	0.18	99.48	3073847
GCF_012933265.1			2929563
GCF_012933275.1	0.81	99.46	2895669
GCF_012933285.2	0.42	99.08	3087377
GCF_012933295.2	0.29	99.61	3085240
GCF_012933345.2	0.52	99.08	3208766
GCF_012935455.1	0.46	99.51	2859498
GCF_012935525.1	0.21	99.61	2789938
GCF_012952285.1	0.29	98.3	3262536
GCF_013179755.1	0.23	99.61	2944235
GCF_013280555.1	0.18	99.42	3032819
GCF_013283735.1	0.46	98.77	2664560
GCF_013620665.1	0.13	99.61	2544244
GCF_013867835.1	0.52	98.8	2613661
GCF_014325525.1	0.31	99.32	2870025
GCF_014325565.1	0.22	99.61	3064472
GCF_014325585.1	0.26	99.25	3070379
GCF_014325595.1	0.23	99.48	3025459
GCF_014325625.1	0.35	99.25	3087452
GCF_014325645.1	0.23	98.83	2966678
GCF_014325675.1	0.6	99.61	3090039
GCF_014325705.1	0.32	99.39	2927343
GCF_014325725.1	0.37	99.22	3021125
GCF_014325735.1	1.2	99.61	3069198
GCF_014325755.1	0.49	99.12	3125297
GCF_014325785.1	0.26	99.09	2905818
GCF_014325795.1	0.37	98.96	3065865
GCF_014325825.1	0.21	99.09	2912941
GCF_014325835.1	0.26	98.83	2967167
GCF_014325845.1	0.13	99.43	2866833
GCF_014325885.1	0.32	99.61	3062694
GCF_014325905.1	0.21	99.25	3062484
GCF_014325925.1	0.47	99.61	3080649
GCF_014325935.1	0.18	99.25	3060886
GCF_014325955.1	0.64	99.61	3090453
GCF_014326005.1	0.18	99.48	3027729
GCF_014326025.1	0.28	99.48	3081630
GCF_014326035.1	0.57	99.09	3032004
GCF_014326065.1	0.23	99.31	3018808
GCF_014326075.1	0.24	99.48	3018219
GCF_014326085.1	0.37	99.48	3052458
GCF_014326125.1	0.37	99.25	3094276
GCF_014326135.1	0.37	99.48	3095108
GCF_014326145.1	0.18	99.09	3021598
GCF_014326165.1	0.42	99.23	2995087
GCF_014326195.1	0.41	99.25	3086868
GCF_014326225.1	0.37	98.56	3137417
GCF_014326245.1	0.45	99.51	2974940
GCF_014326265.1	0.25	99.48	2825858
GCF_014326285.1	0.37	98.56	3140830
GCF_014326295.1	0.64	98.56	3148318
GCF_014326305.1	0.41	98.56	3126464
GCF_014326325.1	0.35	99.25	3073173
GCF_014326365.1	0.76	98.56	3142127
GCF_014326385.1	0.42	98.95	3133511
GCF_014326395.1	0.18	99.25	3042899
GCF_014326415.1	0.34	99.48	2964853
GCF_014326425.1	0.21	99.25	3079211
GCF_014326465.1	0.84	98.56	3128192
GCF_014326485.1	0.24	99.25	3035386
GCF_014326495.1	0.42	99.25	3116249
GCF_014326525.1	0.13	99.48	3058403
GCF_014326575.1	0.44	99.58	2964236
GCF_014326585.1	0.5	99.58	2972392
GCF_014326595.1	0.66	99.58	2975731
GCF_014337875.1	0.39	99.43	2904148
GCF_014337895.1	0.37	98.95	3143786
GCF_014489995.1	0.66	99.28	3182731
GCF_014490015.1	0.66	99.28	3317988
GCF_900044005.1	0.13	98.96	3030420
GCF_900066025.1	0.13	99.61	2614649
GCF_900080015.1	0.37	99.06	3008136
GCF_900080025.1	0.13	99.42	3013332
GCF_900080035.1	0.44	99.56	2998389
GCF_900080045.1	0.13	99.42	3011041
GCF_900080055.1	0.13	99.36	2880136
GCF_900080065.1	0.37	98.52	3017352
GCF_900080075.1	0.13	99.42	3003027
GCF_900080085.1	0.37	98.91	3020812
GCF_900080095.1	0.58	99.26	3384249
GCF_900080105.1	0.37	99.14	2972836
GCF_900080115.1	0.45	98.91	3154726
GCF_900092475.1	0.3	99.14	3272427
GCF_900143345.1	2.08	98.77	2913698
GCF_900143355.1	0.62	97.14	2827151
GCF_900148565.1	2.08	98.77	2913698
GCF_900148665.1	0.62	97.14	2827151
GCF_900178555.1	0.91	99.51	2984166
GCF_900178565.1	0.32	99.2	3098661
GCF_900178575.1	0.57	98.67	3177183
GCF_900178585.1	0.57	98.67	3194157
GCF_900178595.1	0.91	99.51	2980709
GCF_900178605.1	0.57	98.67	3172662
GCF_900178615.1	0.57	98.67	3196039
GCF_900178625.1	0.91	99.51	2981850
GCF_900178635.1	0.52	99.35	3118122
GCF_900178645.1	0.52	99.35	3118628
GCF_900178655.1	0.71	98.35	3045739
GCF_900178665.1	0.57	98.67	3171811
GCF_900178675.1	0.57	98.67	3196448
GCF_900178685.1	0.32	99.39	2970016
GCF_900178695.1	0.57	98.67	3194993
GCF_900178705.1	0.65	98.67	3173769
GCF_900178715.1	0.91	99.51	2983440
GCF_900178725.1	0.91	99.51	2983887
GCF_900178735.1	0.57	98.67	3178590
GCF_900178745.1	0.91	99.51	2964475
GCF_900178755.1	0.91	99.51	2985434
GCF_900178765.1	0.91	99.51	2966011
GCF_900178775.1	0.71	98.35	3034392
GCF_900178785.1	0.91	99.44	2966705
GCF_900178795.1	0.71	98.35	3034312
GCF_900178805.1	0.32	99.39	2974770
GCF_900178815.1	0.91	99.51	2967717
GCF_900178825.1	0.57	98.67	3087855
GCF_900178835.1	0.91	99.51	2966521
GCF_900178845.1	0.91	99.51	2995954
GCF_900178855.1	0.91	99.51	2968645
GCF_900178865.1	0.57	98.67	3073002
GCF_900178875.1	0.91	99.51	2983040
GCF_900178885.1	0.57	98.67	3088935
GCF_900178895.1	0.57	98.67	3191610
GCF_900178905.1	0.91	99.51	2963932
GCF_900178915.1	0.91	99.51	2967082
GCF_900178925.1	0.91	99.51	2988444
GCF_900178935.1	0.91	99.51	2968972
GCF_900178945.1	0.57	98.67	3182659
GCF_900178955.1	0.57	98.67	3194192
GCF_900178965.1	0.52	98.35	3077233
GCF_900178975.1	0.91	99.51	2982123
GCF_900178985.1	0.91	99.51	2983541
GCF_900178995.1	0.32	99.2	3092248
GCF_900179005.1	0.97	99.48	2937070
GCF_900179015.1	0.57	98.67	3191448
GCF_900179025.1	0.57	98.67	3181326
GCF_900179035.1	0.97	99.48	2932667
GCF_900179045.1	0.57	98.67	3192534
GCF_900179055.1	0.91	99.51	2987236
GCF_900179065.1	0.55	98.83	3045272
GCF_900179075.1	0.55	98.83	3062110
GCF_900179085.1	0.91	99.51	2964763
GCF_900179095.1	0.55	98.83	3062373
GCF_900179105.1	0.55	98.83	3065813
GCF_900179115.1	0.32	99.2	3053341
GCF_900179125.1	0.57	98.67	3174796
GCF_900179135.1	0.57	98.67	3092187
GCF_900179145.1	0.57	98.67	3184703
GCF_900179155.1	0.57	98.67	3187919
GCF_900179165.1	0.57	98.67	3139847
GCF_900179175.1	0.33	99.35	3080659
GCF_900179185.1	0.57	98.67	3177176
GCF_900179195.1	0.57	98.67	3177779
GCF_900179205.1	0.97	99.48	2935432
GCF_900179215.1	0.55	98.83	3045888
GCF_900179225.1	0.52	98.35	3057672
GCF_900179235.1	0.52	98.35	3058039
GCF_900179245.1	0.57	98.67	3143677
GCF_900179255.1	0.57	98.67	3079960
GCF_900179265.1	0.57	98.67	3184751
GCF_900179275.1	0.97	99.48	2935368
GCF_900179285.1	0.52	98.35	3069755
GCF_900179295.1	0.91	99.51	2985264
GCF_900179305.1	0.57	98.67	3192734
GCF_900179315.1	0.57	98.67	3184998
GCF_900179325.1	0.57	98.67	3083877
GCF_900179335.1	0.52	98.35	3050736
GCF_900179345.1	0.71	98.35	3040721
GCF_900179355.1	0.97	99.48	2934477
GCF_900179365.1	0.57	98.67	3082252
GCF_900179375.1	0.57	98.67	3184528
GCF_900179385.1	0.52	99.35	3060454
GCF_900179395.1	0.57	98.67	3082763
GCF_900179405.1	0.57	98.67	3184832
GCF_900179415.1	0.57	98.67	3178806
GCF_900179425.1	0.97	99.48	2943752
GCF_900179435.1	0.32	99.2	3090018
GCF_900179445.1	0.52	99.35	3119393
GCF_900179455.1	0.57	98.67	3163387
GCF_900179465.1	0.57	98.67	3185640
GCF_900179475.1	0.29	99.35	2960902
GCF_900179485.1	0.57	98.67	3087316
GCF_900179495.1	0.57	98.67	3083086
GCF_900179505.1	0.57	98.67	3089560
GCF_900179515.1	0.52	98.74	3046728
GCF_900179525.1	0.57	98.67	3200433
GCF_900179535.1	0.57	98.67	3094946
GCF_900179545.1	0.57	98.67	3096354
GCF_900179555.1	0.57	98.67	3196407
GCF_900179565.1	0.57	98.67	3092266
GCF_900179575.1	0.57	98.67	3093005
GCF_900179585.1	0.57	98.67	3095288
GCF_900179595.1	0.57	98.67	3093137
GCF_900179605.1	0.57	98.67	3096596
GCF_900179615.1	0.76	98.67	3093977
GCF_900179625.1	0.57	98.67	3095200
GCF_900179635.1	0.57	98.67	3095866
GCF_900179645.1	0.57	98.67	3197400
GCF_900179655.1	0.57	98.67	3201391
GCF_900179665.1	0.57	98.67	3199865
GCF_900179675.1	0.57	98.28	3158342
GCF_900179685.1	0.57	98.67	3201653
GCF_900179695.1	0.57	98.28	3140737
GCF_900179705.1	0.57	98.67	3197344
GCF_900179715.1	0.57	98.67	3187860
GCF_900179725.1	0.57	98.67	3192419
GCF_900179735.1	0.57	98.67	3192446
GCF_900179745.1	0.57	98.28	3141310
GCF_900179755.1	0.57	98.67	3198508
GCF_900179765.1	0.97	99.48	2939985
GCF_900179775.1	0.57	98.67	3179412
GCF_900179785.1	0.91	99.51	2991148
GCF_900179795.1	0.57	98.67	3194021
GCF_900179805.1	0.97	99.29	2937357
GCF_900179815.1	0.57	98.67	3173613
GCF_900179825.1	0.57	98.67	3175816
GCF_900179835.1	0.57	98.67	3196241
GCF_900179845.1	0.57	98.67	3201948
GCF_900179855.1	0.57	98.67	3200818
GCF_900179865.1	0.57	98.67	3198272
GCF_900179875.1	0.97	99.48	2941466
GCF_900179885.1	0.97	99.48	2941529
GCF_900179895.1	0.57	98.67	3202578
GCF_900179905.1	0.57	98.67	3200762
GCF_900179915.1	0.91	99.51	2898425
GCF_900179925.1	0.55	98.96	2983847
GCF_900179935.1	0.55	98.83	3043505
GCF_900179945.1	0.57	98.67	3194554
GCF_900179955.1	0.57	98.67	3188002
GCF_900179965.1	0.57	98.28	3142152
GCF_900179975.1	0.33	99.22	3131922
GCF_900179985.1	0.57	98.67	3202153
GCF_900179995.1	0.97	99.35	2942527
GCF_900180005.1	0.97	99.48	2935266
GCF_900180015.1	0.57	98.67	3179439
GCF_900180025.1	0.57	98.67	3200544
GCF_900180035.1	0.33	99.22	3158170
GCF_900180045.1	0.57	98.67	3199119
GCF_900180055.1	0.97	99.48	2935322
GCF_900180065.1	0.97	99.48	2935491
GCF_900180075.1	0.97	99.48	2941848
GCF_900180085.1	0.97	99.48	2940874
GCF_900180095.1	0.97	99.48	2935341
GCF_900180105.1	0.97	99.48	2935567
GCF_900180115.1	0.55	98.83	3079913
GCF_900180125.1	0.57	98.67	3193500
GCF_900180135.1	0.57	98.67	3083643
GCF_900180145.1	0.57	98.67	3193650
GCF_900180155.1	0.71	98.35	3040008
GCF_900180165.1	0.55	98.96	3074824
GCF_900180175.1	0.91	99.51	2964055
GCF_900180185.1	0.55	98.83	3067234
GCF_900180195.1	0.55	98.83	3064682
GCF_900180205.1	0.52	99.35	3111784
GCF_900180215.1	0.97	99.48	2937568
GCF_900180225.1	0.97	99.48	2936864
GCF_900180235.1	0.57	98.67	3194496
GCF_900180245.1	0.52	99.35	3120501
GCF_900180255.1	0.97	99.48	2942006
GCF_900180265.1	0.97	99.48	2943704
GCF_900180275.1	0.32	99.39	2960610
GCF_900180285.1	0.97	99.48	2942056
GCF_900180295.1	0.97	99.48	2843312
GCF_900180305.1	0.97	99.48	2942322
GCF_900180315.1	0.97	99.48	2938249
GCF_900180325.1	0.55	98.83	3046575
GCF_900180455.1	0.57	98.67	3184965
GCF_900180465.1	0.55	98.83	3064368
GCF_900302715.1	0.18	98.76	3013578
GCF_900302725.1	0.21	98.71	3052679
GCF_900302735.1	0.18	98.76	3064601
GCF_900302765.1	0.21	98.76	3054752
GCF_900302775.1	0.21	98.76	3056420
GCF_900302785.1	0.17	98.76	2970160
GCF_900302795.1	0.21	98.53	3059075
GCF_900302805.1	0.21	98.66	3048228
GCF_900302815.1	0.21	98.66	3039285
GCF_900302825.1	0.21	98.66	3049465
GCF_900302835.1	0.21	98.66	3071281
GCF_900302845.1	0.21	98.66	3067901
GCF_900302855.1	0.21	98.66	3053578
GCF_900302865.1	0.21	98.66	3045702
GCF_900302875.1	0.21	96.82	2917968
GCF_900302885.1	0.21	98.66	3059851
GCF_900302895.1	0.21	98.66	3045202
GCF_900302905.1	0.21	98.66	3065304
GCF_900302915.1	0.21	98.66	3048578
GCF_900302925.1	0.21	98.66	3047686
GCF_900302935.1	0.21	98.66	3033305
GCF_900302945.1	0.21	98.53	3049804
GCF_900302955.1	0.21	98.66	3071333
GCF_900302965.1	0.21	98.66	3026351
GCF_900302975.1	0.21	98.66	3039650
GCF_900302985.1	0.21	98.66	3066370
GCF_900302995.1	0.21	98.66	3050113
GCF_900303005.1	0.21	98.66	3045993
GCF_900303015.1	0.21	98.66	3045123
GCF_900303025.1	0.21	98.66	3094433
GCF_900303035.1	0.18	98.76	2997586
GCF_900303045.1	0.21	98.66	3049841
GCF_900303055.1	0.18	98.76	2999583
GCF_900303065.1	0.21	98.53	3044642
GCF_900303075.1	0.21	99.02	3046410
GCF_900303085.1	0.21	99.02	3066204
GCF_900303095.1	0.21	98.96	3039813
GCF_900303105.1	0.21	98.66	3035401
GCF_900303115.1	0.18	98.76	2993004
GCF_900303125.1	0.21	98.66	3044792
GCF_900303135.1	0.21	99.02	3045070
GCF_900303145.1	0.21	98.66	3047193
GCF_900303155.1	0.29	86.45	2649133
GCF_900303165.1	0.21	99.02	3068236
GCF_900303175.1	0.21	99.02	3053953
GCF_900303185.1	0.18	98.76	3027985
GCF_900303195.1	0.21	98.66	3053625
GCF_900303295.1	0.21	98.53	3045261
GCF_900332125.2	0.21	99.02	3074706
GCF_900447735.1	0.52	98.83	2667210
GCF_900447785.1	0.13	97.75	2442252
GCF_900447875.1	3.72	76.73	2580201
GCF_900447945.1	0.52	98.96	2799596
GCF_900448025.1	0.58	96.84	3142827
GCF_900448035.1	0.52	98.5	3180884
GCF_900634805.1	0.14	98.29	2600298
